level	name	clickId	url	from_url
4级	废油脂	746	http://www.sjgtw.com/goodsClass/goodsClassIndex?clickId=746	http://www.sjgtw.com/goodsClass/goodsClassIndex?clickId=741
4级	其他废料	747	http://www.sjgtw.com/goodsClass/goodsClassIndex?clickId=747	http://www.sjgtw.com/goodsClass/goodsClassIndex?clickId=741
4级	劳动防护用品	686	http://www.sjgtw.com/goodsClass/goodsClassIndex?clickId=686	http://www.sjgtw.com/goodsClass/goodsClassIndex?clickId=685
4级	木、竹、柳、草制品	693	http://www.sjgtw.com/goodsClass/goodsClassIndex?clickId=693	http://www.sjgtw.com/goodsClass/goodsClassIndex?clickId=685
4级	容器	699	http://www.sjgtw.com/goodsClass/goodsClassIndex?clickId=699	http://www.sjgtw.com/goodsClass/goodsClassIndex?clickId=685
4级	工具袋、座套、帐篷、活动房屋	704	http://www.sjgtw.com/goodsClass/goodsClassIndex?clickId=704	http://www.sjgtw.com/goodsClass/goodsClassIndex?clickId=685
4级	客运用杂品	709	http://www.sjgtw.com/goodsClass/goodsClassIndex?clickId=709	http://www.sjgtw.com/goodsClass/goodsClassIndex?clickId=685
4级	货运用杂品	713	http://www.sjgtw.com/goodsClass/goodsClassIndex?clickId=713	http://www.sjgtw.com/goodsClass/goodsClassIndex?clickId=685
4级	安全防护用杂品	722	http://www.sjgtw.com/goodsClass/goodsClassIndex?clickId=722	http://www.sjgtw.com/goodsClass/goodsClassIndex?clickId=685
4级	卫生消毒用品	728	http://www.sjgtw.com/goodsClass/goodsClassIndex?clickId=728	http://www.sjgtw.com/goodsClass/goodsClassIndex?clickId=685
4级	生产、办公、生活用杂备品	734	http://www.sjgtw.com/goodsClass/goodsClassIndex?clickId=734	http://www.sjgtw.com/goodsClass/goodsClassIndex?clickId=685
4级	纤维材料	657	http://www.sjgtw.com/goodsClass/goodsClassIndex?clickId=657	http://www.sjgtw.com/goodsClass/goodsClassIndex?clickId=656
4级	纺织品	658	http://www.sjgtw.com/goodsClass/goodsClassIndex?clickId=658	http://www.sjgtw.com/goodsClass/goodsClassIndex?clickId=656
4级	绳索	663	http://www.sjgtw.com/goodsClass/goodsClassIndex?clickId=663	http://www.sjgtw.com/goodsClass/goodsClassIndex?clickId=656
4级	毛毡及其他纤维制品	668	http://www.sjgtw.com/goodsClass/goodsClassIndex?clickId=668	http://www.sjgtw.com/goodsClass/goodsClassIndex?clickId=656
4级	纸张	671	http://www.sjgtw.com/goodsClass/goodsClassIndex?clickId=671	http://www.sjgtw.com/goodsClass/goodsClassIndex?clickId=656
4级	人造革、皮革及制品	678	http://www.sjgtw.com/goodsClass/goodsClassIndex?clickId=678	http://www.sjgtw.com/goodsClass/goodsClassIndex?clickId=656
4级	合成树脂、塑料原料	599	http://www.sjgtw.com/goodsClass/goodsClassIndex?clickId=599	http://www.sjgtw.com/goodsClass/goodsClassIndex?clickId=598
4级	塑料板材	602	http://www.sjgtw.com/goodsClass/goodsClassIndex?clickId=602	http://www.sjgtw.com/goodsClass/goodsClassIndex?clickId=598
4级	塑料管材	611	http://www.sjgtw.com/goodsClass/goodsClassIndex?clickId=611	http://www.sjgtw.com/goodsClass/goodsClassIndex?clickId=598
4级	塑料棒材	619	http://www.sjgtw.com/goodsClass/goodsClassIndex?clickId=619	http://www.sjgtw.com/goodsClass/goodsClassIndex?clickId=598
4级	有机玻璃型材	629	http://www.sjgtw.com/goodsClass/goodsClassIndex?clickId=629	http://www.sjgtw.com/goodsClass/goodsClassIndex?clickId=598
4级	泡沫塑料及型材	633	http://www.sjgtw.com/goodsClass/goodsClassIndex?clickId=633	http://www.sjgtw.com/goodsClass/goodsClassIndex?clickId=598
4级	塑料薄膜	637	http://www.sjgtw.com/goodsClass/goodsClassIndex?clickId=637	http://www.sjgtw.com/goodsClass/goodsClassIndex?clickId=598
4级	塑料丝带及织品	644	http://www.sjgtw.com/goodsClass/goodsClassIndex?clickId=644	http://www.sjgtw.com/goodsClass/goodsClassIndex?clickId=598
4级	塑料焊条	651	http://www.sjgtw.com/goodsClass/goodsClassIndex?clickId=651	http://www.sjgtw.com/goodsClass/goodsClassIndex?clickId=598
4级	其他塑料及制品	653	http://www.sjgtw.com/goodsClass/goodsClassIndex?clickId=653	http://www.sjgtw.com/goodsClass/goodsClassIndex?clickId=598
4级	橡胶	551	http://www.sjgtw.com/goodsClass/goodsClassIndex?clickId=551	http://www.sjgtw.com/goodsClass/goodsClassIndex?clickId=550
4级	输送带	556	http://www.sjgtw.com/goodsClass/goodsClassIndex?clickId=556	http://www.sjgtw.com/goodsClass/goodsClassIndex?clickId=550
4级	传动带	562	http://www.sjgtw.com/goodsClass/goodsClassIndex?clickId=562	http://www.sjgtw.com/goodsClass/goodsClassIndex?clickId=550
4级	胶管	571	http://www.sjgtw.com/goodsClass/goodsClassIndex?clickId=571	http://www.sjgtw.com/goodsClass/goodsClassIndex?clickId=550
4级	橡胶板及其他橡胶制品	581	http://www.sjgtw.com/goodsClass/goodsClassIndex?clickId=581	http://www.sjgtw.com/goodsClass/goodsClassIndex?clickId=550
4级	轮胎及轮胎附件	587	http://www.sjgtw.com/goodsClass/goodsClassIndex?clickId=587	http://www.sjgtw.com/goodsClass/goodsClassIndex?clickId=550
4级	化工原料及制剂	484	http://www.sjgtw.com/goodsClass/goodsClassIndex?clickId=484	http://www.sjgtw.com/goodsClass/goodsClassIndex?clickId=483
4级	化学试剂	495	http://www.sjgtw.com/goodsClass/goodsClassIndex?clickId=495	http://www.sjgtw.com/goodsClass/goodsClassIndex?clickId=483
4级	清漆、厚漆、调和漆、底漆、防锈漆	499	http://www.sjgtw.com/goodsClass/goodsClassIndex?clickId=499	http://www.sjgtw.com/goodsClass/goodsClassIndex?clickId=483
4级	磁漆	507	http://www.sjgtw.com/goodsClass/goodsClassIndex?clickId=507	http://www.sjgtw.com/goodsClass/goodsClassIndex?clickId=483
4级	稀释剂、粉、浆、腻子	516	http://www.sjgtw.com/goodsClass/goodsClassIndex?clickId=516	http://www.sjgtw.com/goodsClass/goodsClassIndex?clickId=483
4级	颜料	520	http://www.sjgtw.com/goodsClass/goodsClassIndex?clickId=520	http://www.sjgtw.com/goodsClass/goodsClassIndex?clickId=483
4级	特殊性能漆	525	http://www.sjgtw.com/goodsClass/goodsClassIndex?clickId=525	http://www.sjgtw.com/goodsClass/goodsClassIndex?clickId=483
4级	特种用途漆	533	http://www.sjgtw.com/goodsClass/goodsClassIndex?clickId=533	http://www.sjgtw.com/goodsClass/goodsClassIndex?clickId=483
4级	爆破器材	539	http://www.sjgtw.com/goodsClass/goodsClassIndex?clickId=539	http://www.sjgtw.com/goodsClass/goodsClassIndex?clickId=483
4级	能源	452	http://www.sjgtw.com/goodsClass/goodsClassIndex?clickId=452	http://www.sjgtw.com/goodsClass/goodsClassIndex?clickId=451
4级	润滑油	455	http://www.sjgtw.com/goodsClass/goodsClassIndex?clickId=455	http://www.sjgtw.com/goodsClass/goodsClassIndex?clickId=451
4级	润滑脂	466	http://www.sjgtw.com/goodsClass/goodsClassIndex?clickId=466	http://www.sjgtw.com/goodsClass/goodsClassIndex?clickId=451
